Format Version,1.23,Take Name,elongation_019,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-01-27 04.21.09.695 PM,Total Frames in Take,8860,Total Exported Frames,8860,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,"RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker4","RigidBody:Marker4","RigidBody:Marker4","RigidBody:Marker5","RigidBody:Marker5","RigidBody:Marker5","RigidBody:Marker6","RigidBody:Marker6","RigidBody:Marker6",RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker5,RigidBody:Marker5,RigidBody:Marker5,RigidBody:Marker6,RigidBody:Marker6,RigidBody:Marker6
,ID,"B8B8A973F9BC11F0362C94CE0003AB7","B8B8A973F9BC11F0362C94CE0003AB7","B8B8A973F9BC11F0362C94CE0003AB7","B8B8A973F9BC11F0362C94CE0003AB7","B8B8A973F9BC11F0362C94CE0003AB7","B8B8A973F9BC11F0362C94CE0003AB7","B8B8A973F9BC11F0362C94CE0003AB7","B8B8A973F9BC11F0362C94CE0003AB7","B8B8A973F9BC11F0362C94CE0003AB7","B8B8A973F9BC11F0362C94CE0003AB7","B8B8A973F9BC11F0362C94CE0003AB7","B8B8A973F9BC11F0362C94CE0003AB7","B8B8A973F9BC11F0362C94CE0003AB7","B8B8A973F9BC11F0362C94CE0003AB7","B8B8A973F9BC11F0362C94CE0003AB7","B8B8A973F9BC11F0362C94CE0003AB7","B8B8A973F9BC11F0362C94CE0003AB7","B8B8A973F9BC11F0362C94CE0003AB7","B8B8A973F9BC11F0362C94CE0003AB7","B8B8A973F9BC11F0362C94CE0003AB7","B8B8A973F9BC11F0362C94CE0003AB7","B8B8A973F9BC11F0362C94CE0003AB7","B8B8A973F9BC11F0362C94CE0003AB7","B8B8A973F9BC11F0362C94CE0003AB7","110E00","110E00","110E00","110A00","110A00","110A00","1109E0","1109E0","1109E0","1109F0","1109F0","1109F0","110A20","110A20","110A20","110C90","110C90","110C90"
,,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-131.207657,-40.466534,-139.724182,26.230433,284.478638,207.887436,-24.960733,287.220154,173.821609,-20.610035,284.466614,247.064087,21.756456,282.789764,269.369324,84.141731,282.083527,229.298569,81.376595,283.333282,180.340378,15.678607,286.978485,147.430618,-24.879036,287.908325,174.586884,-21.042456,284.445740,247.065811,21.790415,282.399261,268.222107,84.144691,282.467621,229.464783,81.028282,283.372375,179.908600,16.462334,286.173645,148.030899
1,0.008333,-131.192322,-40.472748,-139.708740,26.232361,284.475189,207.870758,-24.966352,287.222595,173.816742,-20.599253,284.462036,247.057968,21.772186,282.780853,269.353516,84.148361,282.074982,229.268570,81.372246,283.329407,180.311111,15.667021,286.981201,147.416534,-24.872890,287.904572,174.585205,-21.042356,284.444580,247.062744,21.789934,282.398468,268.221863,84.151276,282.448029,229.377594,81.030365,283.376831,179.915192,16.465202,286.173279,148.030457
2,0.016667,-131.207993,-40.466148,-139.724976,26.231279,284.478882,207.886108,-24.959480,287.220398,173.819656,-20.609663,284.466644,247.062210,21.756559,282.789825,269.367950,84.142319,282.083832,229.297943,81.377785,283.333679,180.339722,15.680190,286.978882,147.429169,-24.879257,287.909912,174.589523,-21.041290,284.446503,247.064041,21.791162,282.398468,268.221252,84.144432,282.467499,229.462646,81.024803,283.373688,179.909470,16.470797,286.172485,148.025330
3,0.025000,,,,,,,,,,,,,,,,,,,,,,,,,-24.877913,287.910309,174.586609,-21.041370,284.446716,247.063995,21.791502,282.397644,268.222809,84.145683,282.468811,229.462402,81.029205,283.376404,179.910858,16.462751,286.175018,148.030823
4,0.033333,-131.192566,-40.472168,-139.706909,26.231739,284.474670,207.870239,-24.967306,287.222412,173.816772,-20.599413,284.463623,247.058014,21.772242,282.781982,269.353088,84.147934,282.073669,229.267441,81.371269,283.326904,180.310013,15.665751,286.979401,147.416107,-24.873898,287.903564,174.585480,-21.044661,284.446350,247.065292,21.789848,282.399750,268.223053,84.152519,282.447205,229.378265,81.026085,283.373657,179.909851,16.468325,286.172394,148.028397
5,0.041667,-131.209076,-40.466343,-139.724915,26.231209,284.478760,207.887222,-24.959652,287.219513,173.820862,-20.609612,284.467194,247.063431,21.756676,282.790894,269.369110,84.142311,282.084229,229.298920,81.377632,283.333130,180.340683,15.679934,286.977570,147.430252,-24.877125,287.908203,174.588272,-21.040754,284.446533,247.065186,21.788849,282.400726,268.220825,84.145180,282.467224,229.463409,81.026543,283.373413,179.909882,16.466789,286.171722,148.030807
