current_time,pwm_incr_module1,pwm_incr_module2
15:51:01,1,1
15:51:03,2,1
15:51:04,3,1
15:51:06,4,1
15:51:07,5,1
15:51:09,6,1
15:51:10,7,1
15:51:12,8,1
15:51:13,9,1
15:51:15,10,1
15:51:16,11,1
15:51:18,12,1
15:51:19,13,1
15:51:21,14,1
15:51:22,15,1
15:51:24,16,1
15:51:25,17,1
15:51:27,18,1
15:51:28,19,1
15:51:30,20,1
15:51:31,21,1
15:51:33,22,1
15:51:34,23,1
15:51:36,24,1
15:51:37,25,1
15:51:43,1,2
15:51:44,2,2
15:51:46,3,2
15:51:47,4,2
15:51:49,5,2
15:51:50,6,2
15:51:52,7,2
15:51:54,8,2
15:51:55,9,2
15:51:57,10,2
15:51:58,11,2
15:52:00,12,2
15:52:01,13,2
15:52:03,14,2
15:52:04,15,2
15:52:06,16,2
15:52:07,17,2
15:52:09,18,2
15:52:10,19,2
15:52:12,20,2
15:52:13,21,2
15:52:15,22,2
15:52:16,23,2
15:52:18,24,2
15:52:19,25,2
15:52:25,1,3
15:52:26,2,3
15:52:28,3,3
15:52:29,4,3
15:52:31,5,3
15:52:32,6,3
15:52:34,7,3
15:52:35,8,3
15:52:37,9,3
15:52:38,10,3
15:52:40,11,3
15:52:41,12,3
15:52:43,13,3
15:52:44,14,3
15:52:46,15,3
15:52:47,16,3
15:52:49,17,3
15:52:50,18,3
15:52:52,19,3
15:52:53,20,3
15:52:55,21,3
15:52:56,22,3
15:52:58,23,3
15:52:59,24,3
15:53:01,25,3
15:53:06,1,4
15:53:08,2,4
15:53:09,3,4
15:53:11,4,4
15:53:12,5,4
15:53:14,6,4
15:53:15,7,4
15:53:17,8,4
15:53:18,9,4
15:53:20,10,4
15:53:21,11,4
15:53:23,12,4
15:53:25,13,4
15:53:26,14,4
15:53:28,15,4
15:53:29,16,4
15:53:31,17,4
15:53:32,18,4
15:53:34,19,4
15:53:35,20,4
15:53:37,21,4
15:53:38,22,4
15:53:40,23,4
15:53:41,24,4
15:53:43,25,4
15:53:48,1,5
15:53:50,2,5
15:53:51,3,5
15:53:53,4,5
15:53:54,5,5
15:53:56,6,5
15:53:57,7,5
15:53:59,8,5
15:54:00,9,5
15:54:02,10,5
15:54:03,11,5
15:54:05,12,5
15:54:06,13,5
15:54:08,14,5
15:54:09,15,5
15:54:11,16,5
15:54:12,17,5
15:54:14,18,5
15:54:15,19,5
15:54:17,20,5
15:54:18,21,5
15:54:20,22,5
15:54:21,23,5
15:54:23,24,5
15:54:24,25,5
15:54:30,1,6
15:54:31,2,6
15:54:33,3,6
15:54:34,4,6
15:54:36,5,6
15:54:37,6,6
15:54:39,7,6
15:54:40,8,6
15:54:42,9,6
15:54:44,10,6
15:54:45,11,6
15:54:47,12,6
15:54:48,13,6
15:54:50,14,6
15:54:51,15,6
15:54:53,16,6
15:54:54,17,6
15:54:56,18,6
15:54:57,19,6
15:54:59,20,6
15:55:00,21,6
15:55:02,22,6
15:55:03,23,6
15:55:05,24,6
15:55:06,25,6
15:55:12,1,7
15:55:13,2,7
15:55:15,3,7
15:55:16,4,7
15:55:18,5,7
15:55:19,6,7
15:55:21,7,7
15:55:22,8,7
15:55:24,9,7
15:55:25,10,7
15:55:27,11,7
15:55:28,12,7
15:55:30,13,7
15:55:31,14,7
15:55:33,15,7
15:55:34,16,7
15:55:36,17,7
15:55:37,18,7
15:55:39,19,7
15:55:40,20,7
15:55:42,21,7
15:55:43,22,7
15:55:45,23,7
15:55:46,24,7
15:55:48,25,7
15:55:53,1,8
15:55:55,2,8
15:55:56,3,8
15:55:58,4,8
15:55:59,5,8
15:56:01,6,8
15:56:02,7,8
15:56:04,8,8
15:56:05,9,8
15:56:07,10,8
15:56:09,11,8
15:56:10,12,8
15:56:12,13,8
15:56:13,14,8
15:56:15,15,8
15:56:16,16,8
15:56:18,17,8
15:56:19,18,8
15:56:21,19,8
15:56:22,20,8
15:56:24,21,8
15:56:25,22,8
15:56:27,23,8
15:56:28,24,8
15:56:30,25,8
15:56:35,1,9
15:56:37,2,9
15:56:38,3,9
15:56:40,4,9
15:56:41,5,9
15:56:43,6,9
15:56:44,7,9
15:56:46,8,9
15:56:47,9,9
15:56:49,10,9
15:56:50,11,9
15:56:52,12,9
15:56:53,13,9
15:56:55,14,9
15:56:56,15,9
15:56:58,16,9
15:56:59,17,9
15:57:01,18,9
15:57:02,19,9
15:57:04,20,9
15:57:05,21,9
15:57:07,22,9
15:57:08,23,9
15:57:10,24,9
15:57:11,25,9
15:57:17,1,10
15:57:18,2,10
15:57:20,3,10
15:57:21,4,10
15:57:23,5,10
15:57:24,6,10
15:57:26,7,10
15:57:27,8,10
15:57:29,9,10
15:57:30,10,10
15:57:32,11,10
15:57:33,12,10
15:57:35,13,10
15:57:37,14,10
15:57:38,15,10
15:57:40,16,10
15:57:41,17,10
15:57:43,18,10
15:57:44,19,10
15:57:46,20,10
15:57:47,21,10
15:57:49,22,10
15:57:50,23,10
15:57:52,24,10
15:57:53,25,10
15:57:59,1,11
15:58:00,2,11
15:58:02,3,11
15:58:03,4,11
15:58:05,5,11
15:58:06,6,11
15:58:08,7,11
15:58:09,8,11
15:58:11,9,11
15:58:12,10,11
15:58:14,11,11
15:58:15,12,11
15:58:17,13,11
15:58:18,14,11
15:58:20,15,11
15:58:21,16,11
15:58:23,17,11
15:58:24,18,11
15:58:26,19,11
15:58:27,20,11
15:58:29,21,11
15:58:30,22,11
15:58:32,23,11
15:58:33,24,11
15:58:35,25,11
15:58:40,1,12
15:58:42,2,12
15:58:43,3,12
15:58:45,4,12
15:58:46,5,12
15:58:48,6,12
15:58:49,7,12
15:58:51,8,12
15:58:52,9,12
15:58:54,10,12
15:58:55,11,12
15:58:57,12,12
15:58:58,13,12
15:59:00,14,12
15:59:01,15,12
15:59:03,16,12
15:59:05,17,12
15:59:06,18,12
15:59:08,19,12
15:59:09,20,12
15:59:11,21,12
15:59:12,22,12
15:59:14,23,12
15:59:15,24,12
15:59:17,25,12
15:59:22,1,13
15:59:24,2,13
15:59:25,3,13
15:59:27,4,13
15:59:28,5,13
15:59:30,6,13
15:59:31,7,13
15:59:33,8,13
15:59:34,9,13
15:59:36,10,13
15:59:37,11,13
15:59:39,12,13
15:59:40,13,13
15:59:42,14,13
15:59:43,15,13
15:59:45,16,13
15:59:46,17,13
15:59:48,18,13
15:59:49,19,13
15:59:51,20,13
15:59:52,21,13
15:59:54,22,13
15:59:55,23,13
15:59:57,24,13
15:59:58,25,13
16:00:04,1,14
16:00:05,2,14
16:00:07,3,14
16:00:08,4,14
16:00:10,5,14
16:00:11,6,14
16:00:13,7,14
16:00:14,8,14
16:00:16,9,14
16:00:17,10,14
16:00:19,11,14
16:00:20,12,14
16:00:22,13,14
16:00:23,14,14
16:00:25,15,14
16:00:26,16,14
16:00:28,17,14
16:00:30,18,14
16:00:31,19,14
16:00:33,20,14
16:00:34,21,14
16:00:36,22,14
16:00:37,23,14
16:00:39,24,14
16:00:40,25,14
16:00:46,1,15
16:00:47,2,15
16:00:49,3,15
16:00:50,4,15
16:00:52,5,15
16:00:53,6,15
16:00:55,7,15
16:00:56,8,15
16:00:58,9,15
16:00:59,10,15
16:01:01,11,15
16:01:02,12,15
16:01:04,13,15
16:01:05,14,15
16:01:07,15,15
16:01:08,16,15
16:01:10,17,15
16:01:11,18,15
16:01:13,19,15
16:01:14,20,15
16:01:16,21,15
16:01:17,22,15
16:01:19,23,15
16:01:20,24,15
16:01:22,25,15
16:01:27,1,16
16:01:29,2,16
