Format Version,1.23,Take Name,elongation_015,Take Notes,,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2026-01-26 09.20.40.891 AM,Total Frames in Take,8682,Total Exported Frames,8682,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker5,RigidBody:Marker5,RigidBody:Marker5,RigidBody:Marker6,RigidBody:Marker6,RigidBody:Marker6,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker5,RigidBody:Marker5,RigidBody:Marker5,RigidBody:Marker6,RigidBody:Marker6,RigidBody:Marker6
,ID,B8B8A973F9BC11F0362C94CE0003AB7,B8B8A973F9BC11F0362C94CE0003AB7,B8B8A973F9BC11F0362C94CE0003AB7,B8B8A973F9BC11F0362C94CE0003AB7,B8B8A973F9BC11F0362C94CE0003AB7,B8B8A973F9BC11F0362C94CE0003AB7,B8B8A973F9BC11F0362C94CE0003AB7,B8B8A973F9BC11F0362C94CE0003AB7,B8B8A973F9BC11F0362C94CE0003AB7,B8B8A973F9BC11F0362C94CE0003AB7,B8B8A973F9BC11F0362C94CE0003AB7,B8B8A973F9BC11F0362C94CE0003AB7,B8B8A973F9BC11F0362C94CE0003AB7,B8B8A973F9BC11F0362C94CE0003AB7,B8B8A973F9BC11F0362C94CE0003AB7,B8B8A973F9BC11F0362C94CE0003AB7,B8B8A973F9BC11F0362C94CE0003AB7,B8B8A973F9BC11F0362C94CE0003AB7,B8B8A973F9BC11F0362C94CE0003AB7,B8B8A973F9BC11F0362C94CE0003AB7,B8B8A973F9BC11F0362C94CE0003AB7,B8B8A973F9BC11F0362C94CE0003AB7,B8B8A973F9BC11F0362C94CE0003AB7,B8B8A973F9BC11F0362C94CE0003AB7,C67C0,C67C0,C67C0,C67B0,C67B0,C67B0,C6770,C6770,C6770,C7D90,C7D90,C7D90,C67F0,C67F0,C67F0,C67E0,C67E0,C67E0
,,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0,-31.837875,-7.094538,-1.643933,153.234131,282.953247,266.596832,148.048294,282.047333,327.922333,210.125687,281.29718,288.720245,209.260651,282.496613,240.834244,144.095215,284.271973,205.501556,102.528038,284.191528,231.545273,105.346786,283.414948,305.057281,148.104019,281.915497,327.788788,210.338028,281.444092,288.941711,208.649796,282.347412,240.813583,144.230545,284.367432,205.433029,102.611748,284.107758,231.538467,105.417969,283.524658,305.063507
1,0.008333,-31.83972,-7.093275,-1.64864,153.237381,282.955109,266.593353,148.049988,282.050964,327.918762,210.128296,281.294922,288.718201,209.264511,282.493347,240.832153,144.100067,284.273224,205.497849,102.532242,284.196716,231.540558,105.349144,283.421509,305.052673,148.102921,281.914398,327.790161,210.340073,281.442108,288.941376,208.648911,282.345612,240.811249,144.233368,284.368683,205.432617,102.613449,284.109955,231.536667,105.431396,283.536926,305.046417
2,0.016667,-31.835983,-7.094355,-1.644781,153.23317,282.953491,266.595428,148.047012,282.045502,327.920898,210.124619,281.295837,288.719055,209.259842,282.496918,240.833099,144.094589,284.274475,205.500153,102.527275,284.193695,231.543655,105.345634,283.41452,305.055664,148.101837,281.914612,327.788696,210.338776,281.443573,288.94162,208.645706,282.345184,240.811844,144.229568,284.372528,205.431564,102.611214,284.10849,231.535446,105.418686,283.523773,305.06131
3,0.025,-31.835983,-7.094355,-1.644781,153.23317,282.953491,266.595428,148.047012,282.045502,327.920898,210.124619,281.295837,288.719055,209.259842,282.496918,240.833099,144.094589,284.274475,205.500153,102.527275,284.193695,231.543655,105.345634,283.41452,305.055664,148.101776,281.915588,327.790619,210.338837,281.443146,288.940826,208.647095,282.344849,240.812622,144.230942,284.368408,205.434875,102.612091,284.109497,231.536423,105.419785,283.523926,305.063171
