current_time,t_ms,raw_flow,flow_Lmin,raw_press,press_MPa,pwm1_cur,pwm2_cur,pwm3_cur
10:13:43,197950,211,0.679,210,0.0056,154,156,155
10:13:43,198000,155,0.000,154,0.0000,154,156,155
10:13:43,198050,162,0.000,161,0.0000,154,156,155
10:13:44,50,210,0.557,163,0.0000,154,156,155
10:13:44,100,158,0.000,152,0.0000,154,156,155
10:13:44,150,164,0.000,159,0.0000,154,156,155
10:13:44,200,207,0.192,210,0.0056,154,156,155
10:13:44,250,157,0.000,156,0.0000,154,156,155
10:13:44,300,159,0.000,154,0.0000,154,156,155
10:13:44,350,210,0.557,162,0.0000,154,156,155
10:13:44,400,157,0.000,210,0.0056,154,156,155
10:13:44,450,162,0.000,158,0.0000,154,156,155
10:13:44,500,210,0.557,209,0.0044,154,156,155
10:13:44,550,159,0.000,155,0.0000,154,156,155
10:13:44,600,158,0.000,153,0.0000,154,156,155
10:13:44,650,165,0.000,160,0.0000,154,156,155
10:13:44,700,210,0.557,210,0.0056,154,156,155
10:13:44,750,161,0.000,157,0.0000,154,156,155
10:13:45,800,210,0.557,209,0.0044,154,156,155
10:13:45,850,158,0.000,154,0.0000,154,156,155
10:13:45,900,154,0.000,211,0.0068,154,156,155
10:13:45,950,163,0.000,159,0.0000,154,156,155
10:13:45,1000,210,0.557,210,0.0056,154,156,155
10:13:45,1050,160,0.000,156,0.0000,154,156,155
10:13:45,1100,210,0.557,58,0.0000,154,156,155
10:13:45,1150,157,0.000,153,0.0000,154,156,155
10:13:45,1200,207,0.192,210,0.0056,154,156,155
10:13:45,1250,159,0.000,157,0.0000,154,156,155
10:13:45,1300,210,0.557,210,0.0056,154,156,155
10:13:45,1350,159,0.000,154,0.0000,154,156,155
10:13:45,1400,166,0.000,161,0.0000,154,156,155
10:13:45,1451,156,0.000,210,0.0056,154,156,155
10:13:45,1500,208,0.314,210,0.0056,154,156,155
10:13:45,1550,158,0.000,156,0.0000,154,156,155
10:13:45,1600,207,0.192,210,0.0056,154,156,155
10:13:45,1650,155,0.000,153,0.0000,154,156,155
10:13:45,1700,164,0.000,159,0.0000,154,156,155
10:13:45,1750,160,0.000,159,0.0000,154,156,155
10:13:46,1800,207,0.192,210,0.0056,154,156,155
10:13:46,1850,157,0.000,155,0.0000,154,156,155
10:13:46,1900,207,0.192,162,0.0000,154,156,155
10:13:46,1950,154,0.000,153,0.0000,154,156,155
10:13:46,2000,160,0.000,158,0.0000,154,156,155
10:13:46,2050,159,0.000,158,0.0000,154,156,155
10:13:46,2100,208,0.314,210,0.0056,154,156,155
10:13:46,2150,156,0.000,154,0.0000,154,156,155
10:13:46,2200,162,0.000,160,0.0000,154,156,155
10:13:46,2250,207,0.192,210,0.0056,154,156,155
10:13:46,2300,159,0.000,157,0.0000,154,156,155
10:13:46,2350,160,0.000,156,0.0000,154,156,155
10:13:46,2400,208,0.314,210,0.0056,154,156,155
10:13:46,2450,155,0.000,153,0.0000,154,156,155
10:13:46,2500,161,0.000,159,0.0000,154,156,155
10:13:46,2550,207,0.192,210,0.0056,154,156,155
10:13:46,2600,157,0.000,156,0.0000,154,156,155
10:13:46,2650,158,0.000,154,0.0000,154,156,155
10:13:46,2700,168,0.000,162,0.0000,154,156,155
10:13:46,2750,156,0.000,210,0.0056,154,156,155
10:13:47,2800,159,0.000,158,0.0000,154,156,155
10:13:47,2850,207,0.192,210,0.0056,154,156,155
10:13:47,2900,156,0.000,155,0.0000,154,156,155
10:13:47,2950,158,0.000,154,0.0000,154,156,155
10:13:47,3000,164,0.000,160,0.0000,154,156,155
10:13:47,3050,210,0.557,210,0.0056,154,156,155
10:13:47,3100,161,0.000,157,0.0000,154,156,155
10:13:47,3150,211,0.679,210,0.0056,154,156,155
10:13:47,3200,209,0.435,163,0.0000,154,156,155
10:13:47,3250,157,0.000,152,0.0000,154,156,155
10:13:47,3300,163,0.000,158,0.0000,154,156,155
10:13:47,3350,210,0.557,210,0.0056,154,156,155
10:13:47,3400,159,0.000,156,0.0000,154,156,155
10:13:47,3450,210,0.557,210,0.0056,154,156,155
10:13:47,3500,162,0.000,161,0.0000,154,156,155
10:13:47,3550,211,0.679,210,0.0056,154,156,155
10:13:47,3600,161,0.000,157,0.0000,154,156,155
10:13:47,3650,210,0.557,210,0.0056,154,156,155
10:13:47,3700,158,0.000,154,0.0000,154,156,155
10:13:47,3750,45,0.000,162,0.0000,154,156,155
10:13:48,3800,161,0.000,160,0.0000,154,156,155
10:13:48,3850,207,0.192,210,0.0056,154,156,155
10:13:48,3900,160,0.000,156,0.0000,154,156,155
10:13:48,3950,209,0.435,210,0.0056,154,156,155
10:13:48,4000,157,0.000,153,0.0000,154,156,155
10:13:48,4050,165,0.000,160,0.0000,154,156,155
10:13:48,4100,160,0.000,158,0.0000,154,156,155
10:13:48,4150,208,0.314,210,0.0056,154,156,155
10:13:48,4200,157,0.000,155,0.0000,154,156,155
10:13:48,4250,208,0.314,163,0.0000,154,156,155
10:13:48,4300,156,0.000,209,0.0044,154,156,155
10:13:48,4350,164,0.000,159,0.0000,154,156,155
10:13:48,4400,158,0.000,157,0.0000,154,156,155
10:13:48,4450,208,0.314,209,0.0044,154,156,155
10:13:48,4500,156,0.000,154,0.0000,154,156,155
10:13:48,4550,164,0.000,162,0.0000,154,156,155
10:13:48,4600,208,0.314,210,0.0056,154,156,155
10:13:48,4651,159,0.000,157,0.0000,154,156,155
10:13:48,4700,157,0.000,156,0.0000,154,156,155
10:13:48,4750,208,0.314,210,0.0056,154,156,155
10:13:49,4800,155,0.000,153,0.0000,154,156,155
10:13:49,4850,161,0.000,160,0.0000,154,156,155
10:13:49,4900,207,0.192,210,0.0056,154,156,155
10:13:49,4950,210,0.557,210,0.0056,154,156,155
10:13:49,5000,159,0.000,154,0.0000,154,156,155
10:13:49,5050,208,0.314,163,0.0000,154,156,155
10:13:49,5100,154,0.000,210,0.0056,154,156,155
10:13:49,5150,160,0.000,158,0.0000,154,156,155
10:13:49,5200,208,0.314,210,0.0056,154,156,155
10:13:49,5250,210,0.557,210,0.0056,154,156,155
10:13:49,5300,158,0.000,153,0.0000,154,156,155
10:13:49,5350,165,0.000,160,0.0000,154,156,155
10:13:49,5400,208,0.314,210,0.0056,154,156,155
10:13:49,5450,158,0.000,157,0.0000,154,156,155
10:13:49,5500,208,0.314,210,0.0056,154,156,155
10:13:49,5550,210,0.557,59,0.0000,154,156,155
10:13:49,5600,157,0.000,211,0.0068,154,156,155
10:13:49,5650,163,0.000,159,0.0000,154,156,155
10:13:49,5700,210,0.557,209,0.0044,154,156,155
10:13:49,5750,160,0.000,155,0.0000,154,156,155
10:13:50,5800,208,0.314,59,0.0000,154,156,155
10:13:50,5850,167,0.000,161,0.0000,154,156,155
10:13:50,5900,210,0.557,210,0.0056,154,156,155
10:13:50,5950,161,0.000,158,0.0000,154,156,155
10:13:50,6000,210,0.557,210,0.0056,154,156,155
10:13:50,6050,159,0.000,155,0.0000,154,156,155
10:13:50,6100,166,0.000,161,0.0000,154,156,155
10:13:50,6150,164,0.000,159,0.0000,154,156,155
10:13:50,6200,210,0.557,210,0.0056,154,156,155
10:13:50,6250,160,0.000,156,0.0000,154,156,155
10:13:50,6300,210,0.557,210,0.0056,154,156,155
10:13:50,6350,158,0.000,153,0.0000,154,156,155
10:13:50,6400,153,0.000,209,0.0044,154,156,155
10:13:50,6450,160,0.000,158,0.0000,154,156,155
10:13:50,6500,210,0.557,209,0.0044,154,156,155
10:13:50,6550,159,0.000,156,0.0000,154,156,155
10:13:50,6600,210,0.557,162,0.0000,154,156,155
10:13:50,6650,156,0.000,174,0.0000,154,156,155
10:13:50,6700,207,0.192,210,0.0056,154,156,155
10:13:50,6750,159,0.000,157,0.0000,154,156,155
10:13:51,6800,208,0.314,210,0.0056,154,156,155
10:13:51,6850,156,0.000,154,0.0000,154,156,155
10:13:51,6900,165,0.000,161,0.0000,154,156,155
10:13:51,6950,209,0.435,210,0.0056,154,156,155
10:13:51,7000,207,0.192,210,0.0056,154,156,155
10:13:51,7050,158,0.000,156,0.0000,154,156,155
10:13:51,7100,207,0.192,210,0.0056,154,156,155
10:13:51,7150,154,0.000,153,0.0000,154,156,155
10:13:51,7200,161,0.000,159,0.0000,154,156,155
10:13:51,7250,210,0.557,209,0.0044,154,156,155
10:13:51,7300,208,0.314,210,0.0056,154,156,155
10:13:51,7350,156,0.000,155,0.0000,154,156,155
10:13:51,7400,164,0.000,162,0.0000,154,156,155
10:13:51,7450,154,0.000,210,0.0056,154,156,155
10:13:51,7500,159,0.000,158,0.0000,154,156,155
10:13:51,7550,208,0.314,210,0.0056,154,156,155
10:13:51,7600,210,0.557,210,0.0056,154,156,155
10:13:51,7650,155,0.000,154,0.0000,154,156,155
10:13:51,7700,161,0.000,160,0.0000,154,156,155
10:13:51,7750,208,0.314,209,0.0044,154,156,155
10:13:52,7800,158,0.000,156,0.0000,154,156,155
10:13:52,7851,208,0.314,210,0.0056,154,156,155
10:13:52,7900,210,0.557,163,0.0000,154,156,155
10:13:52,7950,157,0.000,152,0.0000,154,156,155
10:13:52,8000,160,0.000,159,0.0000,154,156,155
10:13:52,8050,208,0.314,209,0.0044,154,156,155
10:13:52,8100,157,0.000,155,0.0000,154,156,155
10:13:52,8150,159,0.000,154,0.0000,154,156,155
10:13:52,8200,166,0.000,161,0.0000,154,156,155
10:13:52,8250,210,0.557,210,0.0056,154,156,155
10:13:52,8300,162,0.000,157,0.0000,154,156,155
10:13:52,8350,211,0.679,210,0.0056,154,156,155
10:13:52,8400,156,0.000,154,0.0000,154,156,155
10:13:52,8450,157,0.000,153,0.0000,154,156,155
10:13:52,8500,164,0.000,160,0.0000,154,156,155
10:13:52,8550,210,0.557,210,0.0056,154,156,155
10:13:52,8600,160,0.000,156,0.0000,154,156,155
10:13:52,8650,210,0.557,210,0.0056,154,156,155
10:13:52,8700,158,0.000,153,0.0000,154,156,155
10:13:52,8750,154,0.000,209,0.0044,154,156,155
10:13:53,8800,163,0.000,158,0.0000,154,156,155
10:13:53,8850,209,0.435,210,0.0056,154,156,155
10:13:53,8900,159,0.000,155,0.0000,154,156,155
10:13:53,8950,210,0.557,164,0.0000,154,156,155
10:13:53,9000,157,0.000,210,0.0056,154,156,155
10:13:53,9050,208,0.314,210,0.0056,154,156,155
10:13:53,9100,159,0.000,156,0.0000,154,156,155
10:13:53,9150,210,0.557,210,0.0056,154,156,155
10:13:53,9200,158,0.000,154,0.0000,154,156,155
10:13:53,9250,166,0.000,161,0.0000,154,156,155
10:13:53,9300,210,0.557,210,0.0056,154,156,155
10:13:53,9350,208,0.314,210,0.0056,154,156,155
10:13:53,9400,158,0.000,155,0.0000,154,156,155
10:13:53,9450,208,0.314,210,0.0056,154,156,155
10:13:53,9500,154,0.000,153,0.0000,154,156,155
10:13:53,9550,164,0.000,160,0.0000,154,156,155
10:13:53,9600,159,0.000,158,0.0000,154,156,155
10:13:53,9650,207,0.192,210,0.0056,154,156,155
10:13:53,9700,156,0.000,154,0.0000,154,156,155
10:13:53,9750,208,0.314,162,0.0000,154,156,155
10:13:54,9800,154,0.000,210,0.0056,154,156,155
10:13:54,9850,160,0.000,158,0.0000,154,156,155
10:13:54,9900,160,0.000,157,0.0000,154,156,155
10:13:54,9950,207,0.192,210,0.0056,154,156,155
