current_time,t_ms,raw_flow,flow_Lmin,raw_press,press_MPa,pwm1_cur,pwm2_cur,pwm3_cur
10:56:57,50,207,0.192,160,0,154,156,155
10:56:57,100,151,0,148,0,154,156,155
10:56:57,150,159,0,156,0,154,156,155
10:56:57,200,208,0.314,209,0.0044,154,156,155
10:56:57,250,157,0,152,0,154,156,155
10:56:57,300,153,0,150,0,154,156,155
10:56:57,350,208,0.314,159,0,154,156,155
10:56:57,400,149,0,210,0.0056,154,156,155
10:56:57,450,157,0,154,0,154,156,155
10:56:57,500,208,0.314,209,0.0044,154,156,155
10:56:57,550,153,0,152,0,154,156,155
10:56:57,600,152,0,150,0,154,156,155
10:56:57,650,159,0,157,0,154,156,155
10:56:57,700,207,0.192,209,0.0044,154,156,155
10:56:57,750,155,0,154,0,154,156,155
10:56:57,800,207,0.192,209,0.0044,154,156,155
10:56:57,850,152,0,150,0,154,156,155
10:56:58,900,153,0,211,0.0068,154,156,155
10:56:58,950,160,0,156,0,154,156,155
10:56:58,1000,208,0.314,210,0.0056,154,156,155
10:56:58,1050,154,0,152,0,154,156,155
10:56:58,1100,207,0.192,49,0,154,156,155
10:56:58,1150,151,0,148,0,154,156,155
10:56:58,1200,209,0.435,209,0.0044,154,156,155
10:56:58,1250,158,0,154,0,154,156,155
10:56:58,1300,208,0.314,209,0.0044,154,156,155
10:56:58,1350,153,0,150,0,154,156,155
10:56:58,1400,161,0,158,0,154,156,155
10:56:58,1451,149,0,209,0.0044,154,156,155
10:56:58,1500,210,0.557,209,0.0044,154,156,155
10:56:58,1550,158,0,153,0,154,156,155
10:56:58,1600,210,0.557,209,0.0044,154,156,155
10:56:58,1650,154,0,150,0,154,156,155
10:56:58,1700,159,0,157,0,154,156,155
10:56:58,1750,159,0,154,0,154,156,155
10:56:58,1800,210,0.557,209,0.0044,154,156,155
10:56:58,1850,156,0,152,0,154,156,155
10:56:59,1900,209,0.435,159,0,154,156,155
10:56:59,1950,152,0,171,0,154,156,155
10:56:59,2000,157,0,154,0,154,156,155
10:56:59,2050,158,0,154,0,154,156,155
10:56:59,2100,210,0.557,209,0.0044,154,156,155
10:56:59,2150,154,0,150,0,154,156,155
10:56:59,2200,161,0,157,0,154,156,155
10:56:59,2250,209,0.435,209,0.0044,154,156,155
10:56:59,2300,158,0,153,0,154,156,155
10:56:59,2350,154,0,152,0,154,156,155
